Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","De acordo com o folheto informativo, para integrar a área funcional de Operações Especiais na categoria de Sargento, os requisitos são:  *   **Altura:** 156cm (feminino) e 160cm (masculino). *   **Escolaridade:** Qualquer Licenciatura ou Mestrado.","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",30.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,A Escola de Sargentos do Exército (ESE) em Caldas da Rainha é a unidade responsável pela formação inicial para todas as áreas funcionais.,"A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",98.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"De acordo com a TABELA REMUNERATÓRIA DOS MILITARES 2024, a remuneração total de um General (GEN) em 2024 é de 6 558,53 €. Este valor corresponde à soma da posição remuneratória (PR = 1), nível remuneratório (NR = 89), remuneração base (RB = 5 382,11 €) e suplemento da condição militar (SCM = 1 176,42 €).","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",98.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","De acordo com a TABELA REMUNERATÓRIA DOS MILITARES 2024, um CAD ALUNO 1º ANO tem uma remuneração base (RB) de 203,51 €.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","De acordo com a TABELA REMUNERATÓRIA DOS MILITARES 2024, um Sargento-Ajudante (SAJ) com NR 23 tem uma remuneração base de 1.754,41€ e um suplemento de condição militar de 450,88€.  Portanto, a remuneração total é de 2.205,29€.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,O código de transação SAP mencionado para iniciar o processo de Alteração de Horário é PA40.,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","O infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo, através de um registo do subtipo 03-Tolerância de Ponto (Plano de horário de trabalho diário: TOLP).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,95.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,O relatório Síntese de Datas pode ser acedido através do código de transação S_PH0_48000450.,Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,100.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,As condições essenciais de altura para a área funcional Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,100.0
