Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","**Requisitos de entrada para sargentos na Área Funcional “Operações Especiais”**  | Requisito | Detalhe | |-----------|---------| | **Escolaridade mínima** | Qualquer Licenciatura ou Mestrado (ou seja, nível superior) – <br>também é exigido saber nadar. | | **Altura** | • Feminino: entre 156 cm e 190 cm  <br>• Masculino: entre 160 cm e 190 cm |  Estes são os requisitos especificados no folheto informativo para a AF “Operações Especiais”.","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",30.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"A unidade responsável pela formação inicial de sargentos para todas as áreas funcionais é a **Escola das Armas (EA)**, que se localiza em **Mafra**.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",30.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"Em 2024 a remuneração total de um General (GEN) é **6 558,53 €**.","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","Um **Cad Aluno do 1.º Ano** tem uma remuneração base (RB) de **203,51 €**.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","A remuneração total de um Sargento‑Ajudante (SAJ) com NR 23 é **2 205,29 €**.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,O código de transação SAP indicado para iniciar o processo de **Alteração de Horário** é **PA40**.,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","De acordo com o manual, o **Infotipo 2003 – Substituições** serve para efetuar a substituição do horário de trabalho do colaborador (incluindo registo de tolerâncias de ponto e outros tipos de substituição relacionados com o plano de horário).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,95.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,"Para aceder ao relatório **Síntese de datas**, basta introduzir o código de transação **S_PH0_48000450** no campo de comando do SAP e pressionar <Enter>.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,95.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,A Área Geográfica de Prestação de Serviço Preferencial para a área funcional **Vigilância do Campo de Batalha** é:  - **Braga** - **Estremoz** - **S. Margarida**,"A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,As condições essenciais de altura para a Área Funcional **Vigilância do Campo de Batalha** são:  - **165 cm a 180 cm** (tanto para feminino como para masculino).,As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,98.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"A remuneração total de um Tenente‑General (TGEN) com PR 2 em 2024 é **5 496,86 €**.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",100.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?","De acordo com o Código do Trabalho, o limite máximo de trabalho suplementar que pode ser realizado por cada trabalhador ao longo de um ano depende do tipo de empresa:  * **Micro‑empresa ou pequena empresa** – até **175 horas/ano**;   * **Média ou grande empresa** – até **150 horas/ano**;   * **Trabalhadores a tempo parcial** – até **80 horas/ano**, ou o número de horas correspondente à proporção entre o seu período normal e o de um trabalhador a tempo inteiro em situação comparável, se for superior.  Portanto, para a maioria dos trabalhadores (em médias ou grandes empresas) o limite é de **150 horas por ano**.","O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",70.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?,O número máximo de horas de trabalho suplementar em um dia normal de trabalho é **duas (2) horas**.,O limite é de duas horas por dia normal de trabalho.,100.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?,O infótipo utilizado para registar os **contingentes de presença** no SIGRHV é o **infótipo 2007 – Contingentes de Presenças**.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,95.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?,O infotipo utilizado no SIGRHV para registar os **contingentes de presença** é o **Infotipo 2007 – Contingentes de Presenças**.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,100.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?,As previsões do Regulamento são as seguintes:  **Penas disciplinares básicas (aplicáveis a todos os militares)**   1. Repreensão;   2. Repreensão agravada;   3. Proibição de saída;   4. Suspensão de serviço;   5. Prisão disciplinar.  **Penas adicionais específicas para os militares dos quadros permanentes nas situações do ativo ou da reserva**   6. Reforma compulsiva;   7. Separação de serviço.,"As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",90.0
17,Qual a duração máxima da pena de proibição de saída?,A pena de proibição de saída tem a duração máxima de **20 dias**.,A pena de proibição de saída tem duração não superior a 20 dias.,100.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?,"A pena de **repreensão agravada** consiste numa declaração feita ao infractor de que sofre reparo por ter praticado uma infração disciplinar.    Para **oficiais e sargentos**, a sua aplicação tem ainda um requisito formal: a repreensão agravada deve ser proferida **na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas mais antigos na unidade, estabelecimento ou órgão ao qual o infractor pertença**.    Em suma, trata‑se de uma repreensão escrita acompanhada da exigência de que seja feita perante pares hierarquicamente superiores (ou de mesmo grau, porém com maior antiguidade).","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",95.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?,"O período da pena de **suspensão de serviço** pode ser fixado entre **5 dias e 90 dias**, correspondendo ao afastamento completo do militar durante esse intervalo.","A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",98.0
20,A que consiste a pena de separação de serviço?,"A pena de **separação de serviço** consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.","A separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.",100.0
21,Qual o código de transação para atualizar dados mestre de pessoal no SIGRHV?,O código de transação é **PA30**.,O código de transação para atualizar dados mestre de pessoal é PA30.,100.0
22,Qual é o Infotipo utilizado para registar movimentos e mobilidades de pessoal?,O infotipo utilizado para registar movimentos e mobilidades de pessoal é o **Infotipo 9011 – Movimentos e Mobilidades**.,O Infotipo utilizado para registar movimentos e mobilidades é o IT 9011 - Movimentos e Mobilidades.,100.0
23,Que medida deve ser executada para registar uma reclassificação de um militar?,A medida a executar é **“Reclassificação / Transferência de Quadro Especial”** (código B4).,"A medida a executar é Reclassificação / Transferência de Quadro Especial, onde será registada a nova especialidade no IT0337 – Categoria / Posto.",90.0
24,Onde devem ser registados os documentos que constituem o Processo Individual do militar?,"Os documentos que integram o Processo Individual do militar têm de ser **registados no IT ‘Índice de Documentos’** – ou seja, no infotipo 9009 (sub‑tipo 0003 para militares) – e, simultaneamente, arquivados em capa conforme as regras previstas na secção 234 «Arquivo de documentos». Assim, cada documento é numerado, classificado e guardado fisicamente no seu respetivo ficheiro de matrícula, ficando também registado eletronicamente no Índice de Documentos para futura consulta nos sistemas de informação.","Os documentos devem ser registados no IT Índice de documentos (IT 9009), que tem como objetivo o registo dos vários documentos que irão constituir o Processo Individual do militar.",90.0
