Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","Os requisitos de entrada de sargentos para a área funcional Operações Especiais incluem uma altura mínima de 156 cm para mulheres e 160 cm para homens, além de possuir o ensino secundário completo (12º ano) ou habilitação legalmente equivalente.","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",70.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"Resposta: A Escola de Sargentos do Exército (ESE), que se encontra em Caldas da Rainha.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",98.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"6.558,53 €","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","203,51 €.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",95.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","2.205,29 €","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,    Resposta: PA40,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","O Infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto deve também ser efetuado neste infotipo, através de um registo do subtipo 03-Tolerância de Ponto (Plano de horário de trabalho diário: TOLP).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,95.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,Não sei a resposta.,Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,0.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,165cm - 180cm (feminino e masculino),As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,100.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"A remuneração total de um Tenente-General (TGEN) com PR 2 em 2024 é de 5.496,86 EUR.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",100.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?",150 horas por ano.,"O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",90.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?,Resposta: Duas horas.,O limite é de duas horas por dia normal de trabalho.,85.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?,"Resposta: O infotipo 2007 é utilizado para gerir os direitos ao trabalho suplementar. Os contingentes de presenças contêm um determinado número de dias ou horas, durante as quais os colaboradores têm trabalho extraordinário por aprovar ou aprovado.",O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,20.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?,O infotipo 2007.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,40.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?,"    Resposta:     As penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva, além das previstas no número anterior, são as seguintes: a) Reforma compulsiva; b) Separação de serviço.","As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",30.0
17,Qual a duração máxima da pena de proibição de saída?,20 dias,A pena de proibição de saída tem duração não superior a 20 dias.,80.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?,"A pena de repreensão agravada para oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respectivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infractor pertencer ou em que estiver apresentado.","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",90.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?,"A sanção disciplinar de suspensão varia entre 20 e 90 dias por cada infração, num máximo de 240 dias por ano.","A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",45.0
20,A que consiste a pena de separação de serviço?,"A pena de separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.","A separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.",100.0
21,Qual o código de transação para atualizar dados mestre de pessoal no SIGRHV?,"Resposta: PA20, PA30 ou PA40. Dependendo do contexto, pode ser necessário utilizar um destes códigos de transação específicos para atualizar os dados mestre de pessoal no sistema SIGRHV. Por exemplo, o código PA30 é utilizado para a atualização geral dos dados mestre, enquanto o PA20 e o PA40 podem ser utilizados em contextos mais específicos, como a gestão de medidas ou a atualização de informações de pessoal. É importante verificar o manual do sistema ou consultar um administrador do SIGRHV para determinar qual código de transação é o mais adequado para cada situação específica.",O código de transação para atualizar dados mestre de pessoal é PA30.,75.0
