Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","Os requisitos de entrada para a área funcional de Operações Especiais incluem uma altura mínima de 156cm para femininos e 160cm para masculinos, e o requisito de saber nadar. Além disso, é mencionado que os militares de Operações Especiais são especialmente selecionados, treinados e equipados, utilizando técnicas e modos de emprego não convencionais. No entanto, em outro contexto, é especificado que a escolaridade mínima exigida para as Operações Especiais é o 9º ano.","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",50.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE) e localiza-se em Caldas da Rainha.,"A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",100.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"A remuneração total de um General (GEN) em 2024 é de 6.558,53 €. Esta informação pode ser encontrada na Tabela Remuneratória dos Militares de 2024.","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","De acordo com a tabela fornecida no contexto, um Cadete Aluno do 1º Ano tem uma remuneração base (RB) de 203,51 EUR.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","A remuneração total de um Sargento-Ajudante (SAJ) com NR 23 é de 2.205,29 EUR, sendo composta por uma Remuneração Base (RB) de 1.754,41 EUR e um Suplemento Condição Militar (SCM) de 450,88 EUR.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",95.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,O código de transação SAP mencionado para iniciar o processo de Alteração de Horário é PA40.,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","O Infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador. Além disso, também é utilizado para registrar tolerâncias de ponto, através de um registo do subtipo 03-Tolerância de Ponto.",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,95.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,"Para aceder ao relatório ""Síntese de datas"" utilizando um código de transação, você deve seguir os passos indicados no manual do sistema SAP que está utilizando. Geralmente, isso envolve digitar o código de transação correspondente no campo apropriado e executar a transação.  No contexto fornecido, o código de transação para acessar o relatório ""Síntese de datas"" não é explicitamente mencionado em relação à sua pergunta específica. No entanto, vários códigos de transação são mencionados em diferentes contextos, como ZHR_T_Q0016, S_PH0_48000450, entre outros, para acessar relatórios e funcionalidades variadas no sistema SAP.  Para encontrar o código de transação correto para o relatório ""Síntese de datas"", você pode:  1. Consultar a documentação do sistema SAP que está utilizando. 2. Procurar por informações específicas sobre como acessar relatórios de síntese de datas no seu manual de usuário ou guia de instruções. 3. Se necessário, entrar em contato com o suporte técnico ou administrador do sistema para obter assistência.  Lembre-se de que os códigos de transação podem variar dependendo da versão do SAP e das configurações específicas do seu sistema.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,60.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"A área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,"As condições essenciais de altura para a área funcional Vigilância do Campo de Batalha não estão explicitamente mencionadas no contexto fornecido. No entanto, para a categoria de Sargento da AF Vigilância do Campo de Batalha, as condições essenciais incluem o 12º ano e Carta de Condução Categoria B, mas a altura específica não é detalhada na parte do contexto que menciona essa área funcional. Para outras áreas funcionais, as alturas variam, por exemplo, 165cm - 180cm (feminino e masculino) para Carros de Combate, ou 156cm (feminino) 160cm (masculino) para várias outras áreas. Sem informações específicas sobre a Vigilância do Campo de Batalha, não é possível determinar as condições de altura exatas para essa área funcional com base no contexto fornecido.",As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,40.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"A remuneração total de um Tenente-General (TGEN) com PR 2 em 2024 é de 5.496,86 €.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",100.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?","De acordo com o artigo 228.º, as horas de trabalho suplementar por ano permitidas por trabalhador variam consoante o tipo de empresa:  - No caso de microempresa ou pequena empresa, cento e setenta e cinco horas por ano; - No caso de média ou grande empresa, cento e cinquenta horas por ano.","O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",65.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?,"De acordo com o Artigo 228.º, o limite de duração do trabalho suplementar em dia normal de trabalho é de duas horas.",O limite é de duas horas por dia normal de trabalho.,98.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?,O Infotipo utilizado para registar contingentes de presença no SIGRHV é o 2007.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,75.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?,"O Infotipo 2007 é utilizado para gerir os direitos ao trabalho suplementar, contendo um determinado número de dias ou horas durante as quais os colaboradores têm trabalho extraordinário por aprovar ou aprovado.",O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,10.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?,"As penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva, além das previstas no número anterior, são as seguintes:  - a) Reforma compulsiva;  - b) Separação de serviço.","As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",40.0
17,Qual a duração máxima da pena de proibição de saída?,A duração máxima da pena de proibição de saída é de 20 dias.,A pena de proibição de saída tem duração não superior a 20 dias.,100.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?,"A pena de repreensão agravada para oficiais e sargentos consiste na declaração feita ao infractor de que sofre reparo por ter praticado uma infracção disciplinar, sendo efectuada na presença de outros oficiais ou sargentos, respectivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infractor pertencer ou em que estiver apresentado.","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",90.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?,O período de suspensão de serviço varia entre 5 e 90 dias.,"A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",85.0
